id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0931225B,Collège Joliot-Curie,93,Stains,93240,secondaire,30.354008944034582,19.605170127864817,11.959153665304184,"c(2.38532562895443, 48.9565334493301)",40
0931226C,Collège Pablo Néruda,93,Stains,93240,secondaire,29.81925897598267,19.679156483947168,11.982285259664058,"c(2.38867432830291, 48.9637024039193)",40
0931227D,Collège Pasteur,93,Villemomble,93250,secondaire,52.28617143630981,27.39366050785886,17.935133203864098,"c(2.5154557869664, 48.8826861436892)",25
0931228E,Collège Albert Camus,93,Neuilly-sur-Marne,93331,secondaire,30.621704361438752,19.93581720027204,12.160848772525789,"c(2.52828826840095, 48.8578791256876)",34
0931229F,Collège Fabien,93,Saint-Denis,93200,secondaire,31.979753547715948,19.86149547053747,12.115512290000916,"c(2.35295993052379, 48.9440907676512)",115
0931230G,Collège Elsa Triolet,93,Saint-Denis,93200,secondaire,32.622916450724,19.958446706918405,12.174942312575876,"c(2.34830547723046, 48.9394378510484)",115
0931231H,Collège Pierre de Geyter,93,Saint-Denis,93200,secondaire,36.18218906402588,21.093985486993237,13.026420798301697,"c(2.35137412367771, 48.9330965455386)",115
0931232J,Collège Henri Barbusse,93,Saint-Denis,93200,secondaire,32.40039319992066,19.91273967600957,12.146771574020384,"c(2.37626199315323, 48.9402961241277)",115
0931233K,Lycée professionnel Jean-Baptiste Clément,93,Gagny,93220,secondaire,30.096828162670132,19.80814955878092,12.082971351742744,"c(2.54211943748026, 48.8876527699347)",37
0931234L,Section d'enseignement professionnel du Lycée Eugène Henaff,93,Bagnolet,93170,secondaire,35.77685066223144,20.53395113885321,12.5793367806077,"c(2.43072116211861, 48.8748838901453)",36
0931239S,Ecole primaire Firmin Gemier,93,Aubervilliers,93300,primaire,35.840879440307624,20.333422174147508,12.40264337837696,"c(2.38221317886305, 48.9096691691338)",72
0931240T,Ecole maternelle Paul Eluard,93,Aulnay-sous-Bois,93600,primaire,31.019227552413938,20.46733695468033,12.657975578308104,"c(2.49839964020885, 48.9549159646732)",94
0931242V,Ecole primaire Paul Eluard 1,93,Aulnay-sous-Bois,93600,primaire,28.735109934806825,19.668218943067608,12.021583573520184,"c(2.4993782151991, 48.9565261280689)",94
0931243W,Ecole primaire Paul Eluard 2,93,Aulnay-sous-Bois,93600,primaire,30.99643399238586,20.465253832707404,12.65670486688614,"c(2.49879831711919, 48.9550624124021)",94
0931244X,Ecole primaire Parc,93,Aulnay-sous-Bois,93600,primaire,30.3330885887146,19.728019508400397,12.034091973304747,"c(2.49477973958416, 48.9276483979295)",94
0931245Y,Ecole primaire Eugénie Cotton,93,Bagnolet,93170,primaire,35.47603376377374,20.37542710810464,12.43544493522495,"c(2.42508375515618, 48.8738730806404)",36
0931246Z,Ecole primaire Jacques Decour,93,Le-Blanc-Mesnil,93150,primaire,30.995357221364973,19.795355222903588,12.075166329741478,"c(2.4781053947016, 48.9214779887297)",49
0931247A,Ecole maternelle Victor Hugo-Louis Pasteur,93,Bobigny,93000,primaire,32.905200012922286,20.09748149773855,12.258911544084548,"c(2.43926853236877, 48.9013309043623)",54
0931249C,Ecole primaire Paul Vaillant-Couturier,93,Bobigny,93000,primaire,32.03589488238096,20.033338829507898,12.2169109236449,"c(2.44517458815759, 48.9090528491642)",54
0931250D,Ecole primaire Paul Langevin,93,Bobigny,93000,primaire,32.21240243911743,19.969421796354208,12.180848836898804,"c(2.44904973859204, 48.910933183507)",54
0931253G,Ecole primaire Léo Lagrange,93,Bondy,93140,primaire,31.30018345117569,19.849144358235247,12.107978397607802,"c(2.48976727759362, 48.9061799858749)",52
